iter	Passed	Remaining
234	49982	120170
235	50060	119636
236	50280	119443
237	50447	119125
238	50605	118784
239	50823	118588
240	51070	118457
241	51344	118388
242	51610	118300
243	51835	118117
244	52056	117922
245	52269	117713
246	52507	117556
247	52602	117082
248	52865	116982
249	53111	116844
250	53256	116484
251	53437	116204
252	53707	116118
253	53937	115944
254	54088	115600
255	54295	115377
256	54479	115106
257	54705	114922
258	54880	114633
259	55233	114715
260	55387	114381
261	55509	113984
262	55620	113567
263	55734	113158
264	55915	112885
265	56197	112817
266	56406	112601
267	56730	112614
268	56908	112336
269	57062	112012
270	57323	111896
271	57547	111709
272	57695	111375
273	57883	111119
274	58028	110781
275	58240	110571
276	58461	110379
277	58588	110010
278	58630	109485
279	58814	109226
280	280	59705	110281	281	59886	110282	59333	108393
283	283	60235	109284	59722	107919
285	285	60543	108286	60111	107446
287	60259	107127
288	288	61187	108289	289	61354	107290	60866	106463
291	61130	106350
292	61459	106348
293	61711	106210
294	61914	105988
295	62187	105886
296	62320	105546
297	62465	105227
298	62685	105034
299	62839	104733
300	63001	104444
301	63323	104420
302	63466	104101
303	63610	103784
304	63822	103581
305	63978	103284
306	64093	102925
307	64257	102644
308	64417	102359
309	309	65345	103310	64759	101824
311	311	65724	102312	312	65966	102313	65453	101307
314	65790	101295
315	65967	101038
316	66157	100800
317	66249	100415
318	66398	100118
319	66595	99892
320	6320	67522	1321	66321	67807	322	670322	67985323	6727323	6817324	67475324	68396	99964
325	685326	67940326	68899	99661
327	690328	68354328	693329	68659329	695330	68937330	698331	69182331	70119	98842
332	704333	69692333	706334	69964334	707335	70099335	709336	70288336	710337	70465337	712338	70655338	714339	70933339	717340	71212340	719341	71382341	721342	71618	95422
343	71741343	724344	71875344	72737	95928
345	72973	95750
346	73128	95467
347	73273	95171
348	73553	95050
349	73699	94756
350	74048	94722
351	74245	94493
352	74445	94269
353	74565	93944
354	74866	93846
355	75050	93601
356	75165	93272
357	75311	92982
358	75494	92737
359	75679	92496
360	75821	92204
361	75971	91921
362	76239	91781
363	76572	91718
364	76752	91472
365	77002	91309
366	77213	91099
367	77378	90835
368	77555	90586
369	77793	90408
370	77973	90163
371	78122	89882
372	78321	89659
373	78463	89372
374	78727	89224
375	78959	89039
376	79138	88794
377	79251	88476
378	79364	88159
379	79517	87887
380	79657	87602
381	79770	87287
382	79963	87061
383	80175	86856
384	80370	86633
385	80610	86457
386	80804	86232
387	80985	85995
388	81308	85907
389	81495	85674
390	81647	85405
391	81901	85244
392	82023	84945
393	82222	84726
394	82432	84519
395	82585	84254
396	82774	84025
397	83026	83860
398	83266	83683
399	83520	83520
400	83872	83454
401	84235	83397
402	84501	83243
403	84688	83011
404	84900	82804
405	85215	82696
406	85508	82567
407	85735	82373
408	85848	82070
409	85962	81769
410	86107	81498
411	86340	81310
412	86558	81109
413	86839	80966
414	87027	80736
415	87074	80376
416	87290	80173
417	87552	80012
418	87778	79817
419	87940	79565
420	88062	79277
421	88174	78980
422	88384	78772
423	88581	78553
424	88819	78370
425	88968	78108
426	89126	77855
427	89360	77668
428	89569	77459
429	89787	77259
430	89928	76991
431	90106	76757
432	90408	76628
433	90712	76499
434	90920	76289
435	91036	76002
436	91260	75806
437	91580	75690
438	91766	75461
439	91920	75207
440	92065	74946
441	92211	74687
442	92392	74456
443	92586	74235
444	92773	74010
445	93165	73947
446	93549	73877
447	93787	73690
448	94006	73488
449	94192	73261
450	94339	73003
451	94491	72750
452	94643	72497
453	94936	72352
454	95085	72098
455	95203	71820
456	95413	71612
457	95494	71308
458	95538	70977
459	95580	70646
460	95624	70318
461	95680	69999
462	95721	69671
463	95755	69339
464	95802	69019
465	95840	68692
466	95892	68377
467	95975	68085
468	96028	67772
469	96084	67463
470	96121	67141
471	96154	66819
472	96194	66501
473	96227	66182
474	96259	65861
475	96295	65545
476	96339	65236
477	96374	64921
478	96416	64613
479	96457	64305
480	96505	64002
481	96559	63704
482	96601	63400
483	96649	63101
484	96680	62792
485	96732	62497
486	96787	62206
487	96825	61905
488	96875	61612
489	96918	61315
490	96963	61021
491	97003	60725
492	970493	96315493	970494	96353494	97117	59840
495	97167	59554
496	97216	59268
497	97259	58980
498	97301	58693
499	97355	58413
500	97391	58123
501	97437	57841
502	97471	57552
503	97510	57268
504	97551	56985
505	97592	56703
506	97646	56430
507	97687	56151
508	97734	55875
509	97778	55599
510	97821	55323
511	97853	55042
512	97899	54770
513	97932	54491
514	97970	54216
515	98020	53949
516	98050	53671
517	98096	53404
518	98143	53137
519	98178	52865
520	98227	52601
521	98263	52331
522	98302	52064
523	98360	51808
524	98416	51551
525	98456	51287
526	98494	51022
527	98534	50760
528	98580	50501
529	98637	50249
530	98679	49990
531	98717	49729
532	98765	49475
533	98816	49223
534	98864	48970
535	98902	48713
536	98946	48459
537	98988	48206
538	99031	47953
539	99066	47698
540	99119	47452
541	99154	47199
542	99194	46948
543	99227	46695
544	99262	46443
545	99303	46196
546	99340	45947
	45322
548	98599	45079
	45236
551	100152	44996
552	100191	44750
553	100226	44504
554	100261	44259
555	100292	44013
556	100324	43768
557	100370	43530
558	100411	43290
559	100451	43050
560	100486	42809
561	100530	42573
562	100577	42339
563	100645	42113
564	100688	41879
565	100741	41649
566	100774	41411
567	100819	41179
568	100853	40943
569	100886	40708
570	100929	40477
571	100964	40244
572	100993	40009
573	101042	39783
574	101083	39554
575	101121	39324
576	101168	39099
23	37862
583	101760	37637
584	101805	37415
585	101853	37195
586	101899	36975
2	34490
597	101479	34279
598	101509	34062
599	101571	33857
600	101619	33647
601	101660	33436
602	101710	33228
603	101746	33017
604	101782	32806
605	101824	32597
606	101875	32392
607	101914	32183
608	101961	31978
609	102007	31772
610	102046	31565
611	102089	31360
612	102135	31157
